1927,730,HP 61XL Black (CH563WA),596,HP 61XL Black Ink Cartridge (CH563WA),1.0
1928,741,HP 703 Color (CD888AA),490,HP 703 Tri-color Ink Cartridge (CD888AA),1.0
1928,730,HP 61XL Black (CH563WA),596,HP 61XL Black Ink Cartridge (CH563WA),1.0
1929,333,HP 126A Black (CE310A),540,HP 126A Black LaserJet Toner Cartridge (CE310A),1.0
1929,335,HP 126A Yellow (CE312A),543,HP 126A Yellow LaserJet Toner Cartridge (CE312A),1.0
1930,664,HP 60XL Black (CC641WA),482,HP 60XL Black Ink Cartridge (CC641WA),1.0
1930,329,HP 128A Black (CE320A),546,HP 128A Black LaserJet Toner Cartridge (CE320A),1.0
1930,331,HP 128A Yellow (CE322A),549,HP 128A Yellow LaserJet Toner Cartridge (CE322A),1.0
1931,275,HP 125A Cyan (CB541A),464,HP 125A Cyan LaserJet Toner Cartridge (CB541A),1.0
1931,274,HP 125A Yellow (CB542A),465,HP 125A Yellow LaserJet Toner Cartridge (CB542A),1.0
1931,273,HP 125A Magenta (CB543A),466,HP 125A Magenta LaserJet Toner Cartridge (CB543A),1.0
1931,276,HP 125A Black (CB540A),463,HP 125A Black LaserJet Toner Cartridge (CB540A),1.0
1932,967,Lexmark 100 Black (14N0820A),19421,Akasa Black SATA 3.0 Data Cable (100cm),0.5161290322580645
1932,965,Lexmark 100 Yellow (14N0902A),4399,"3M Post-it® Notes 656 — 2in x 3in, 100 sheets - Canary Yellow",0.5161290322580645
1933,649,HP 75 Color (CB337WA),440,HP 75 Tri-color Inkjet Print Cartridge (CB337WA),1.0
1933,651,HP 74 Black (CB335WA),438,HP 74 Black Inkjet Print Cartridge (CB335WN),0.6774193548387096
1934,702,HP 61 Black (CH561WA),594,HP 61 Black Ink Cartridge (CH561WA),1.0
1935,792,Canon BCI-3e Yellow,1621,Canon BCI-3e Ink Cartridge (13ml) - Yellow,1.0
1935,793,Canon BCI-3e Magenta,1620,Canon BCI-3e Ink Cartridge (13ml) - Magenta,1.0
1936,179,Canon FX9,1743,Canon FX9 Toner Cartridge,1.0
1937,179,Canon FX9,1743,Canon FX9 Toner Cartridge,1.0
1938,581,Xerox M205 P205 High Capacity (CT201610),1345,Xerox M205 P205 High Capacity CT201610 (Item No: XER P205 2.2K),1.0
1939,546,Xerox CM305 CP305 Black (CT201632),1302,Xerox CM305/CP305 Print Cartridge 3K - Black (Item No: XER CP305BK),0.7560975609756098
1940,547,Xerox 3210 3220 High Capacity (CWAA0776),1368,Xerox 3210 3220 High Capacity CWAA0776 (Item No: XER WC3210 5K),1.0
1941,731,HP 61XL Color (CH564WA),597,HP 61XL Tri-color Ink Cartridge (CH564WA),1.0
1941,702,HP 61 Black (CH561WA),594,HP 61 Black Ink Cartridge (CH561WA),1.0
1942,731,HP 61XL Color (CH564WA),597,HP 61XL Tri-color Ink Cartridge (CH564WA),1.0
1942,702,HP 61 Black (CH561WA),594,HP 61 Black Ink Cartridge (CH561WA),1.0
1943,731,HP 61XL Color (CH564WA),597,HP 61XL Tri-color Ink Cartridge (CH564WA),1.0
1943,702,HP 61 Black (CH561WA),594,HP 61 Black Ink Cartridge (CH561WA),1.0
1944,469,OKI C5600 C5700 Magenta (43381910),954,OKI C5600 C5700 Magenta Toner Cartridge (43381910),1.0
1944,446,OKI C5600 C5700 Black (43324412),949,OKI C5600 C5700 Black Toner Cartridge (43324412),1.0
1944,470,OKI C5600 C5700 Cyan (43381911),951,OKI C5600 C5700 Cyan Toner Cartridge (43381911),1.0
1944,440,OKI C5600 C5700 Yellow (43381909),956,OKI C5600 C5700 Yellow Toner Cartridge (43381909),1.0
1945,630,HP 98 Black (C9364WA),347,HP 98 Black Inkjet Print Cartridge (C9364WA),1.0
1945,637,HP 97 Color (C9363WA),346,HP 97 Tri-color Inkjet Print Cartridge (C9363WA),1.0
1946,730,HP 61XL Black (CH563WA),596,HP 61XL Black Ink Cartridge (CH563WA),1.0
1946,349,HP 85AD Dual Pack (CE285AD),539,HP 85AD Black Dual Pack LaserJet Toner Cartridges (CE285AD),1.0
1946,578,Xerox CM205 CP105 Magenta (CT201593),1299,Xerox CM205/CP105 CT201593 Std Cap Toner 1.4K - Magenta (Item No: XER CP105MG),1.0
1946,577,Xerox CM205 CP105 Cyan (CT201592),1298,Xerox CM205/CP105 CT201592 Std Cap Toner 1.4K - Cyan (Item No: XER CP105CY),1.0
1946,579,Xerox CM205 CP105 Yellow (CT201594),1300,Xerox CM205/CP105 CT201594 Std Cap Toner 1.4K - Yellow (Item No: XER CP105YEL),1.0
1946,1596,Xerox CM205 CP105 Black (CT201591),1297,Xerox CM205/CP105 CT201591 Std Cap Toner 2K - Black (Item No: XER CP105BK),1.0
1947,730,HP 61XL Black (CH563WA),596,HP 61XL Black Ink Cartridge (CH563WA),1.0
1947,578,Xerox CM205 CP105 Magenta (CT201593),1299,Xerox CM205/CP105 CT201593 Std Cap Toner 1.4K - Magenta (Item No: XER CP105MG),1.0
1947,577,Xerox CM205 CP105 Cyan (CT201592),1298,Xerox CM205/CP105 CT201592 Std Cap Toner 1.4K - Cyan (Item No: XER CP105CY),1.0
1947,579,Xerox CM205 CP105 Yellow (CT201594),1300,Xerox CM205/CP105 CT201594 Std Cap Toner 1.4K - Yellow (Item No: XER CP105YEL),1.0
1947,1596,Xerox CM205 CP105 Black (CT201591),1297,Xerox CM205/CP105 CT201591 Std Cap Toner 2K - Black (Item No: XER CP105BK),1.0
1948,727,HP 60 Combo Pack (CN067AA),619,HP 60 Black and Tri-color Ink Cartridge Combo Pack (CN067AA),1.0
1949,1736,Samsung CLT-409 Black (CLT-K409S),1138,Samsung CLT-409 Black Toner Cartridge (SG CLT-K409S),1.0
1950,1736,Samsung CLT-409 Black (CLT-K409S),1138,Samsung CLT-409 Black Toner Cartridge (SG CLT-K409S),1.0
1951,730,HP 61XL Black (CH563WA),596,HP 61XL Black Ink Cartridge (CH563WA),1.0
1951,578,Xerox CM205 CP105 Magenta (CT201593),1299,Xerox CM205/CP105 CT201593 Std Cap Toner 1.4K - Magenta (Item No: XER CP105MG),1.0
1951,577,Xerox CM205 CP105 Cyan (CT201592),1298,Xerox CM205/CP105 CT201592 Std Cap Toner 1.4K - Cyan (Item No: XER CP105CY),1.0
1951,579,Xerox CM205 CP105 Yellow (CT201594),1300,Xerox CM205/CP105 CT201594 Std Cap Toner 1.4K - Yellow (Item No: XER CP105YEL),1.0
1951,1596,Xerox CM205 CP105 Black (CT201591),1297,Xerox CM205/CP105 CT201591 Std Cap Toner 2K - Black (Item No: XER CP105BK),1.0
1952,488,Brother TN-2150 (High Capacity),1517,Brother TN-2150 (High Capacity) ,1.0
1953,488,Brother TN-2150 (High Capacity),1517,Brother TN-2150 (High Capacity) ,1.0
1954,625,HP 702 Black (CC660AA),488,HP 702 Black Inkjet Print Cartridge (CC660AA),1.0
1954,1772,"Double A - A4 White (2,500 Sheets)",1849,Double A Paper 70gsm - A4 size - 1 ream - 500 sheets,0.5428571428571428
1955,888,Epson 143 Black (T143190),2083,Epson 143 Black (T143190),1.0
1955,909,Epson 143 Yellow (T143490),2086,Epson 143 Yellow (T143490),1.0
1955,908,Epson 143 Magenta (T143390),2085,Epson 143 Magenta (T143390),1.0
1955,907,Epson 143 Cyan (T143290),2084,Epson 143 Cyan (T143290),1.0
1956,889,Epson 141 Black (T141190),2079,Epson 141 Black (T141190),1.0
1956,890,Epson 141 Cyan (T141290),2080,Epson 141 Cyan (T141290),1.0
1956,891,Epson 141 Magenta (T141390),2081,Epson 141 Magenta (T141390),1.0
1957,488,Brother TN-2150 (High Capacity),1517,Brother TN-2150 (High Capacity) ,1.0
1957,1752,Samsung ML-1610 Toner (ML-1610D2),1140,SAMSUNG Black Toner CLP-620ND/670NDr,0.3103448275862069
1957,732,HP 61 Combo Pack (CR311AA),634,HP 61 Combo-pack Black/Tri-color Ink Cartridges (CR311AA),1.0
1958,1039,Panasonic KX-FA57E Fax Film,1065,Panasonic KX-FA57E Fax Film (item no:P KXFA 57),1.0
1959,1039,Panasonic KX-FA57E Fax Film,1065,Panasonic KX-FA57E Fax Film (item no:P KXFA 57),1.0
1960,623,HP 901 Color (CC656AA),487,HP 901 Tri-color Officejet Ink Cartridge (CC656AA),1.0
1960,622,HP 901XL Black (CC654AA),486,HP 901XL Black Officejet Ink Cartridge (CC654AA),1.0
1961,623,HP 901 Color (CC656AA),487,HP 901 Tri-color Officejet Ink Cartridge (CC656AA),1.0
1961,622,HP 901XL Black (CC654AA),486,HP 901XL Black Officejet Ink Cartridge (CC654AA),1.0
1962,520,Brother TN-2280 (High Capacity),1519,Brother TN-2280 Toner Cartridge - HIGH Capacity,1.0
1963,730,HP 61XL Black (CH563WA),596,HP 61XL Black Ink Cartridge (CH563WA),1.0
1963,731,HP 61XL Color (CH564WA),597,HP 61XL Tri-color Ink Cartridge (CH564WA),1.0
1964,151,Canon Cartridge 312,1658,Canon Cartridge 312 Toner Cartridge,1.0
1964,816,Epson 73N Black (T105190),2058,Epson 73N Black (T105190),1.0
1965,151,Canon Cartridge 312,1658,Canon Cartridge 312 Toner Cartridge,1.0
1965,816,Epson 73N Black (T105190),2058,Epson 73N Black (T105190),1.0
1966,817,Epson 73N Cyan (T105290),2059,Epson 73N Cyan (T105290),1.0
1966,816,Epson 73N Black (T105190),2058,Epson 73N Black (T105190),1.0
1966,818,Epson 73N Magenta (T105390),2060,Epson 73N Magenta (T105390),1.0
1966,819,Epson 73N Yellow (T105490),2061,Epson 73N Yellow (T105490),1.0
1967,672,HP 56 Black (C6656AA),302,HP 56 Black Inkjet Print Cartridge (C6656AA),1.0
1967,1903,HP 57 Color Photo Pack (Q7931AA),7912,HP 57 Series Photo Value Pack-10 x 15 cm plus tab/100 sht (Q7931AA),0.9622641509433962
