category,freq,Mth_yr
Ink,745,2014-06
Toner,454,2014-06
Stationary,328,2014-06
Technology,22,2014-06
Others,19,2014-06
Office Equipments,14,2014-06
Ink,762,2014-07
Stationary,487,2014-07
Toner,473,2014-07
Printer,32,2014-07
Others,22,2014-07
Office Equipments,11,2014-07
Ink,897,2014-01
Toner,474,2014-01
Stationary,286,2014-01
Others,26,2014-01
Office Equipments,15,2014-01
Technology,10,2014-01
Ink,1093,2014-02
Stationary,812,2014-02
Toner,547,2014-02
Technology,38,2014-02
Others,28,2014-02
Office Equipments,16,2014-02
Ink,662,2014-12
Stationary,611,2014-12
Toner,411,2014-12
Office Equipments,37,2014-12
Printer,37,2014-12
Others,12,2014-12
Ink,723,2014-08
Stationary,488,2014-08
Toner,432,2014-08
Technology,19,2014-08
Others,10,2014-08
Office Equipments,9,2014-08
Ink,930,2014-04
Toner,515,2014-04
Stationary,487,2014-04
Others,28,2014-04
Office Equipments,23,2014-04
Clearing & breakdown,15,2014-04
Ink,289,2013-10
Toner,186,2013-10
Stationary,88,2013-10
Others,11,2013-10
Office Equipments,8,2013-10
Technology,7,2013-10
Ink,899,2013-11
Toner,462,2013-11
Stationary,223,2013-11
Technology,32,2013-11
Office Equipments,19,2013-11
Ribbon,1,2013-11
Ink,964,2013-12
Toner,527,2013-12
Stationary,192,2013-12
Technology,21,2013-12
Others,18,2013-12
Office Equipments,15,2013-12
