itemList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toner,Toner,Toner,Toner,Ink,Ink,Ink,Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Ink,Ink,Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toner,Stationary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Stationary,Stationary,Stationary,Stationary,Stationary,Stationary,Toner,Stationary,Stationary,Stationary,Stationary,Stationary,Stationary,Stationary,Stationary,Stationary,Clearing & breakdown,,,,,,,,,,,,,,,,,,,
Toner,Toner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Ink,Ink,Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Ink,Ink,Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toner,Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Ink,Ink,Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toner,Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stationary,Stationary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stationary,Stationary,Others,Stationary,Stationary,Stationary,Stationary,Stationary,Stationary,Stationary,Stationary,Stationary,Clearing & breakdown,Stationary,Stationary,Stationary,Stationary,,,,,,,,,,,,,,,,,,,,
Toner,Toner,Toner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Ink,Ink,Ink,Ink,Ink,Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Toner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Stationary,Technology,Clearing & breakdown,Clearing & breakdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toner,Toner,Toner,Stationary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Ink,Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Clearing & breakdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printer,Toner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ink,Ink,Stationary,Stationary,Stationary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
