Category Group,Num.of.Cust
P,228
P-I,101
P-I-T,77
P-I-T-PA,10
P-I-T-PA-S,11
P-I-T-PA-S-B,0
P-I-T-PA-S-B-C,1
P-I-T-PA-TECH-S-B-C,5
P-I-T-PA-TECH-S-OE-B-C,5
P-I-T-PA-S-OE-B-C,3
P-I-T-PA-TECH-S-B,0
P-I-T-PA-TECH-S-OE-B,1
P-I-T-PA-S-OE-B,1
P-I-T-PA-S-C,2
P-I-T-PA-TECH-S-C,4
P-I-T-PA-TECH-S-OE-C,8
P-I-T-PA-S-OE-C,7
P-I-T-PA-TECH-S,7
P-I-T-PA-TECH-S-OE,9
P-I-T-PA-S-OE,2
P-I-T-PA-B,0
P-I-T-PA-B-C,0
P-I-T-PA-TECH-B-C,0
P-I-T-PA-TECH-OE-B-C,0
P-I-T-PA-OE-B-C,0
P-I-T-PA-TECH-B,0
P-I-T-PA-TECH-OE-B,0
P-I-T-PA-OE-B,0
P-I-T-PA-C,0
P-I-T-PA-TECH-C,0
P-I-T-PA-TECH-OE-C,0
P-I-T-PA-OE-C,0
P-I-T-PA-TECH,4
P-I-T-PA-TECH-OE,1
P-I-T-PA-OE,0
P-I-T-S,13
P-I-T-S-B,0
P-I-T-S-B-C,0
P-I-T-TECH-S-B-C,2
P-I-T-TECH-S-OE-B-C,0
P-I-T-S-OE-B-C,2
P-I-T-TECH-S-B,0
P-I-T-TECH-S-OE-B,0
P-I-T-S-OE-B,0
P-I-T-S-C,0
P-I-T-TECH-S-C,3
P-I-T-TECH-S-OE-C,0
P-I-T-S-OE-C,1
P-I-T-TECH-S,4
P-I-T-TECH-S-OE,5
P-I-T-S-OE,6
P-I-T-B,0
P-I-T-B-C,0
P-I-T-TECH-B-C,1
P-I-T-TECH-OE-B-C,0
P-I-T-OE-B-C,0
P-I-T-TECH-B,0
P-I-T-TECH-OE-B,0
P-I-T-OE-B,1
P-I-T-C,2
P-I-T-TECH-C,1
P-I-T-TECH-OE-C,1
P-I-T-OE-C,0
P-I-T-TECH,23
P-I-T-TECH-OE,2
P-I-T-OE,9
P-I-PA,17
P-I-PA-S,16
P-I-PA-S-B,0
P-I-PA-S-B-C,1
P-I-PA-TECH-S-B-C,1
P-I-PA-TECH-S-OE-B-C,5
P-I-PA-S-OE-B-C,1
P-I-PA-TECH-S-B,2
P-I-PA-TECH-S-OE-B,1
P-I-PA-S-OE-B,0
P-I-PA-S-C,4
P-I-PA-TECH-S-C,2
P-I-PA-TECH-S-OE-C,2
P-I-PA-S-OE-C,2
P-I-PA-TECH-S,1
P-I-PA-TECH-S-OE,4
P-I-PA-S-OE,8
P-I-PA-B,0
P-I-PA-B-C,0
P-I-PA-TECH-B-C,0
P-I-PA-TECH-OE-B-C,0
P-I-PA-OE-B-C,0
P-I-PA-TECH-B,0
P-I-PA-TECH-OE-B,0
P-I-PA-OE-B,0
P-I-PA-C,1
P-I-PA-TECH-C,0
P-I-PA-TECH-OE-C,0
P-I-PA-OE-C,0
P-I-PA-TECH,7
P-I-PA-TECH-OE,0
P-I-PA-OE,2
P-I-S,17
P-I-S-B,0
P-I-S-B-C,0
P-I-TECH-S-B-C,0
P-I-TECH-S-OE-B-C,0
P-I-S-OE-B-C,1
P-I-TECH-S-B,0
P-I-TECH-S-OE-B,1
P-I-S-OE-B,0
P-I-S-C,2
P-I-TECH-S-C,2
P-I-TECH-S-OE-C,0
P-I-S-OE-C,1
P-I-TECH-S,7
P-I-TECH-S-OE,1
P-I-S-OE,4
P-I-B,2
P-I-B-C,0
P-I-TECH-B-C,1
P-I-TECH-OE-B-C,0
P-I-OE-B-C,0
P-I-TECH-B,0
P-I-TECH-OE-B,0
P-I-OE-B,0
P-I-C,0
P-I-TECH-C,0
P-I-TECH-OE-C,0
P-I-OE-C,0
P-I-TECH,14
P-I-TECH-OE,1
P-I-OE,6
P-T,75
P-T-PA,2
P-T-PA-S,4
P-T-PA-S-B,0
P-T-PA-S-B-C,1
P-T-PA-TECH-S-B-C,0
P-T-PA-TECH-S-OE-B-C,0
P-T-PA-S-OE-B-C,0
P-T-PA-TECH-S-B,0
P-T-PA-TECH-S-OE-B,0
P-T-PA-S-OE-B,0
P-T-PA-S-C,1
P-T-PA-TECH-S-C,1
P-T-PA-TECH-S-OE-C,1
P-T-PA-S-OE-C,0
P-T-PA-TECH-S,1
P-T-PA-TECH-S-OE,3
P-T-PA-S-OE,4
P-T-PA-B,0
P-T-PA-B-C,0
P-T-PA-TECH-B-C,0
P-T-PA-TECH-OE-B-C,0
P-T-PA-OE-B-C,0
P-T-PA-TECH-B,0
P-T-PA-TECH-OE-B,0
P-T-PA-OE-B,0
P-T-PA-C,0
P-T-PA-TECH-C,0
P-T-PA-TECH-OE-C,0
P-T-PA-OE-C,0
P-T-PA-TECH,0
P-T-PA-TECH-OE,0
P-T-PA-OE,2
P-T-S,8
P-T-S-B,0
P-T-S-B-C,0
P-T-TECH-S-B-C,0
P-T-TECH-S-OE-B-C,0
P-T-S-OE-B-C,0
P-T-TECH-S-B,0
P-T-TECH-S-OE-B,0
P-T-S-OE-B,0
P-T-S-C,1
P-T-TECH-S-C,0
P-T-TECH-S-OE-C,1
P-T-S-OE-C,0
P-T-TECH-S,2
P-T-TECH-S-OE,0
P-T-S-OE,1
P-T-B,0
P-T-B-C,1
P-T-TECH-B-C,0
P-T-TECH-OE-B-C,0
P-T-OE-B-C,0
P-T-TECH-B,0
P-T-TECH-OE-B,0
P-T-OE-B,0
P-T-C,0
P-T-TECH-C,0
P-T-TECH-OE-C,0
P-T-OE-C,1
P-T-TECH,10
P-T-TECH-OE,2
P-T-OE,10
P-PA,8
P-PA-S,5
P-PA-S-B,0
P-PA-S-B-C,1
P-PA-TECH-S-B-C,0
P-PA-TECH-S-OE-B-C,0
P-PA-S-OE-B-C,2
P-PA-TECH-S-B,0
P-PA-TECH-S-OE-B,0
P-PA-S-OE-B,0
P-PA-S-C,0
P-PA-TECH-S-C,0
P-PA-TECH-S-OE-C,0
P-PA-S-OE-C,1
P-PA-TECH-S,0
P-PA-TECH-S-OE,1
P-PA-S-OE,1
P-PA-B,0
P-PA-B-C,1
P-PA-TECH-B-C,0
P-PA-TECH-OE-B-C,0
P-PA-OE-B-C,0
P-PA-TECH-B,0
P-PA-TECH-OE-B,0
P-PA-OE-B,0
P-PA-C,0
P-PA-TECH-C,0
P-PA-TECH-OE-C,0
P-PA-OE-C,0
P-PA-TECH,0
P-PA-TECH-OE,0
P-PA-OE,0
P-S,5
P-S-B,1
P-S-B-C,2
P-TECH-S-B-C,0
P-TECH-S-OE-B-C,0
P-S-OE-B-C,0
P-TECH-S-B,0
P-TECH-S-OE-B,0
P-S-OE-B,0
P-S-C,0
P-TECH-S-C,0
P-TECH-S-OE-C,0
P-S-OE-C,0
P-TECH-S,2
P-TECH-S-OE,0
P-S-OE,1
P-B,0
P-B-C,1
P-TECH-B-C,1
P-TECH-OE-B-C,0
P-OE-B-C,0
P-TECH-B,0
P-TECH-OE-B,0
P-OE-B,0
P-C,1
P-TECH-C,0
P-TECH-OE-C,0
P-OE-C,0
P-TECH,13
P-TECH-OE,0
P-OE,5
I,2223
I-T,471
I-T-PA,44
I-T-PA-S,41
I-T-PA-S-B,0
I-T-PA-S-B-C,1
I-T-PA-TECH-S-B-C,4
I-T-PA-TECH-S-OE-B-C,4
I-T-PA-S-OE-B-C,5
I-T-PA-TECH-S-B,0
I-T-PA-TECH-S-OE-B,0
I-T-PA-S-OE-B,2
I-T-PA-S-C,8
I-T-PA-TECH-S-C,9
I-T-PA-TECH-S-OE-C,2
I-T-PA-S-OE-C,4
I-T-PA-TECH-S,19
I-T-PA-TECH-S-OE,7
I-T-PA-S-OE,13
I-T-PA-B,0
I-T-PA-B-C,0
I-T-PA-TECH-B-C,0
I-T-PA-TECH-OE-B-C,0
I-T-PA-OE-B-C,0
I-T-PA-TECH-B,1
I-T-PA-TECH-OE-B,0
I-T-PA-OE-B,0
I-T-PA-C,1
I-T-PA-TECH-C,0
I-T-PA-TECH-OE-C,0
I-T-PA-OE-C,1
I-T-PA-TECH,6
I-T-PA-TECH-OE,2
I-T-PA-OE,6
I-T-S,78
I-T-S-B,2
I-T-S-B-C,2
I-T-TECH-S-B-C,1
I-T-TECH-S-OE-B-C,1
I-T-S-OE-B-C,0
I-T-TECH-S-B,0
I-T-TECH-S-OE-B,0
I-T-S-OE-B,0
I-T-S-C,2
I-T-TECH-S-C,2
I-T-TECH-S-OE-C,2
I-T-S-OE-C,3
I-T-TECH-S,18
I-T-TECH-S-OE,5
I-T-S-OE,7
I-T-B,2
I-T-B-C,0
I-T-TECH-B-C,0
I-T-TECH-OE-B-C,0
I-T-OE-B-C,0
I-T-TECH-B,0
I-T-TECH-OE-B,1
I-T-OE-B,0
I-T-C,2
I-T-TECH-C,1
I-T-TECH-OE-C,0
I-T-OE-C,0
I-T-TECH,28
I-T-TECH-OE,4
I-T-OE,23
I-PA,120
I-PA-S,101
I-PA-S-B,5
I-PA-S-B-C,11
I-PA-TECH-S-B-C,9
I-PA-TECH-S-OE-B-C,5
I-PA-S-OE-B-C,10
I-PA-TECH-S-B,3
I-PA-TECH-S-OE-B,1
I-PA-S-OE-B,2
I-PA-S-C,17
I-PA-TECH-S-C,8
I-PA-TECH-S-OE-C,4
I-PA-S-OE-C,9
I-PA-TECH-S,37
I-PA-TECH-S-OE,7
I-PA-S-OE,26
I-PA-B,3
I-PA-B-C,0
I-PA-TECH-B-C,0
I-PA-TECH-OE-B-C,0
I-PA-OE-B-C,0
I-PA-TECH-B,0
I-PA-TECH-OE-B,0
I-PA-OE-B,0
I-PA-C,3
I-PA-TECH-C,0
I-PA-TECH-OE-C,0
I-PA-OE-C,0
I-PA-TECH,10
I-PA-TECH-OE,1
I-PA-OE,4
I-S,219
I-S-B,16
I-S-B-C,9
I-TECH-S-B-C,2
I-TECH-S-OE-B-C,2
I-S-OE-B-C,3
I-TECH-S-B,4
I-TECH-S-OE-B,1
I-S-OE-B,0
I-S-C,12
I-TECH-S-C,5
I-TECH-S-OE-C,0
I-S-OE-C,4
I-TECH-S,43
I-TECH-S-OE,7
I-S-OE,22
I-B,3
I-B-C,1
I-TECH-B-C,0
I-TECH-OE-B-C,0
I-OE-B-C,0
I-TECH-B,1
I-TECH-OE-B,1
I-OE-B,0
I-C,8
I-TECH-C,4
I-TECH-OE-C,0
I-OE-C,3
I-TECH,85
I-TECH-OE,3
I-OE,27
T,1529
T-PA,48
T-PA-S,29
T-PA-S-B,0
T-PA-S-B-C,0
T-PA-TECH-S-B-C,0
T-PA-TECH-S-OE-B-C,0
T-PA-S-OE-B-C,1
T-PA-TECH-S-B,0
