cmb-cat,cat_move_in_no,new_no,move_out_no,new_total
T-PA-B-C,0,0,1,0
P-PA-S-OE-C,0,0,1,0
P-PA-S-OE-B,0,0,0,0
PA-TECH-B,0,0,0,0
PA-TECH-C,0,0,0,1
I-T-PA-S-C,2,0,0,10
I-T-PA-S-B,0,0,0,0
I-PA-OE-B-C,0,0,0,0
PA-TECH-S,1,0,0,7
I-T-S-B-C,0,0,0,2
P-TECH-S-B,0,0,0,0
P-TECH-S-C,0,0,0,0
P-I-PA-S-OE,0,0,3,5
PA-OE-B,0,0,0,0
P-T-TECH-S-OE-C,0,0,0,1
P-I-T-S-OE-C,0,0,0,1
P-I-T-S-OE-B,0,0,0,0
P-T-TECH-S-OE-B,0,0,0,0
P-T-PA-B-C,0,0,0,0
P-PA-OE-B-C,0,0,0,0
P-I-T-OE-B-C,0,0,0,0
P,0,1,52,177
P-TECH-S-OE-B,1,0,0,1
P-TECH-S-OE-C,0,0,0,0
P-I-TECH-S-B-C,0,0,0,0
P-TECH,1,0,7,7
P-I-TECH-OE-B-C,0,0,0,0
P-I-T-PA,2,0,5,7
T-PA-S-OE-C,2,0,0,2
T-PA-S-OE-B,0,0,1,0
S-C,5,0,0,22
S-B,4,0,0,23
P-I-S-OE-B,0,0,0,0
P-I-S-OE-C,0,0,1,0
I-T-PA-TECH-S-C,2,0,1,10
P-T-PA-TECH-OE,0,0,0,0
I-T-PA-TECH-S-B,1,0,0,1
P-I-T-TECH-S-OE,1,0,1,5
T-S-OE-B,0,0,0,0
I-T-TECH,12,0,1,39
P-TECH-S-OE-B-C,0,0,0,0
P-PA-TECH-S-OE-B-C,1,0,0,1
P-TECH-C,0,0,0,0
T-PA-OE-B-C,0,0,0,0
PA-S,10,0,7,54
T-OE,2,0,1,35
PA-B,0,0,0,5
PA-C,0,0,0,3
I-PA-TECH-S-OE-B,1,0,1,1
I-PA-TECH-S-OE-C,0,0,0,4
I-T-TECH-S-OE,3,0,0,8
P-T-TECH-OE,0,0,1,1
P-I-PA-TECH-S-OE,1,0,4,1
P-TECH-OE,0,0,0,0
I-T-TECH-B-C,1,0,0,1
T-PA-TECH-S-OE-C,0,0,0,0
I-T-B,0,0,0,2
I-T-C,0,0,0,2
P-PA-OE,0,0,0,0
I-T-S,13,1,3,89
P-I-OE,0,0,4,2
PA-TECH-S-C,1,0,0,3
P-PA-TECH-B-C,0,0,0,0
